TR10168-3	Doxepin	Chem	ACTIVE	\N	\N	\N	100000.560.000
TR10169-1	Drug Screen Broad Spectrum	Chem	ACTIVE	\N	\N	\N	100000.561.000
TR10170-9	Drugs Of Abuse Screen	Chem	ACTIVE	2023-03-31	\N	\N	100000.500.000
TR10171-7	Enolase Neuron Specific	Chem	ACTIVE	\N	\N	\N	\N
TR10172-5	Erythropoietin	Chem	ACTIVE	\N	\N	\N	100000.280.000
TR10173-3	Estradiol	Chem	ACTIVE	\N	\N	\N	100000.243.500
TR10174-1	Estriol	Chem	ACTIVE	\N	\N	\N	100000.245.400
TR10175-8	Estrogen	Chem	ACTIVE	\N	\N	\N	\N
TR10176-6	Estrone	Chem	ACTIVE	\N	\N	\N	100000.243.600
TR10177-4	Ethanol	Chem	ACTIVE	\N	\N	\N	100000.512.000
TR10178-2	Ethchlorvynol	Chem	ACTIVE	\N	\N	\N	\N
TR10179-0	Ethosuximide	Chem	ACTIVE	\N	\N	\N	100000.513.000
TR10180-8	Ethylene Glycol	Chem	ACTIVE	\N	\N	\N	100000.531.000
TR10181-6	Fat	Chem	ACTIVE	\N	\N	\N	100000.266.000
TR10182-4	Fat Differential	Chem	ACTIVE	\N	\N	\N	\N
TR10183-2	Fat Screen	Chem	ACTIVE	\N	\N	\N	100000.267.000
TR10184-0	Fatty Acids Nonesterified	Chem	ACTIVE	\N	\N	\N	100000.308.000
TR10185-7	Fatty Acids Very Long Chain	Chem	ACTIVE	\N	\N	\N	100000.309.000
TR10186-5	Ferritin	Chem	ACTIVE	\N	\N	\N	100000.393.000
TR10187-3	Flunitrazepam	Chem	ACTIVE	\N	\N	\N	\N
TR10188-1	Fluoride	Chem	ACTIVE	\N	\N	\N	\N
TR10189-9	Fluoxetine	Chem	ACTIVE	\N	\N	\N	100000.562.000
TR10190-7	Flurazepam	Chem	ACTIVE	\N	\N	\N	\N
TR10191-5	Fluvoxamine	Chem	ACTIVE	\N	\N	\N	\N
TR10192-3	Folate (Vitamin B9)	Chem	ACTIVE	2011-12-12	\N	\N	100000.218.000
TR10193-1	Follitropin	Chem	ACTIVE	\N	\N	\N	100000.244.300
TR10194-9	Free Androgen Index	Chem	ACTIVE	\N	\N	\N	\N
TR10195-6	Free Erythrocyte Protoporphyrin	Chem	ACTIVE	\N	\N	\N	100000.396.000
TR10196-4	Fructosamine	Chem	ACTIVE	\N	\N	\N	100000.105.000
TR10197-2	Fructose	Chem	ACTIVE	\N	\N	\N	100000.264.000
TR10198-0	Furosemide	Chem	ACTIVE	\N	\N	\N	\N
TR10199-8	Gabapentin	Chem	ACTIVE	\N	\N	\N	100000.563.000
TR10200-4	Galactose	Chem	ACTIVE	\N	\N	\N	\N
TR10201-2	Galactose 1-Phosphate Uridyl Transferase	Chem	ACTIVE	\N	\N	\N	100000.149.100
TR10202-0	Galactose 1- Phosphate Uridyl Transferase Screen	Chem	ACTIVE	\N	\N	\N	100000.149.200
TR10203-8	Gamma Glutamyl Transferase	Chem	ACTIVE	\N	\N	\N	100000.225.000
TR10204-6	Gamma-Hydroxybutyrate	Chem	ACTIVE	\N	\N	\N	\N
TR10205-3	Gastric Analysis	Chem	ACTIVE	\N	\N	\N	\N
TR10206-1	Gastrin	Chem	ACTIVE	\N	\N	\N	100000.127.100
TR10207-9	Gentamicin Peak	Chem	ACTIVE	\N	\N	\N	100000.565.000
TR10208-7	Gentamicin Random	Chem	ACTIVE	\N	\N	\N	100000.564.000
TR10209-5	Gentamicin Trough	Chem	ACTIVE	\N	\N	\N	100000.566.000
TR10210-3	Glibenclamide	Chem	INACTIVE	\N	\N	\N	\N
TR10211-1	Globulin	Chem	ACTIVE	\N	\N	\N	100000.187.000
TR10212-9	Glucagon	Chem	ACTIVE	\N	\N	\N	100000.127.000
TR10213-7	Glucose Tolerance Test 2 Hour	Chem	ACTIVE	\N	\N	\N	100000.111.000
TR10214-5	Glucose Tolerance Test 3 Hour	Chem	ACTIVE	\N	\N	\N	100000.112.000
TR10215-2	Glucose Tolerance Test 4 Hour	Chem	ACTIVE	\N	\N	\N	100000.113.000
TR10216-0	Glucose Tolerance Test 5 Hour	Chem	ACTIVE	\N	\N	\N	100000.114.000
TR10217-8	Glucose Tolerance Test Gestational	Chem	ACTIVE	\N	\N	\N	100000.116.000
TR10218-6	Glucose 2 Hour Post Meal	Chem	ACTIVE	\N	\N	\N	100000.110.000
TR10219-4	Glucose Fasting	Chem	ACTIVE	2023-01-26	\N	\N	100000.101.000
TR10220-2	Glucose	Chem	ACTIVE	2022-12-15	\N	\N	100000.100.000
TR10221-0	Glutathione	Chem	ACTIVE	\N	\N	\N	\N
TR10222-8	Glutathione Peroxidase	Chem	ACTIVE	\N	\N	\N	\N
TR10223-6	Glyburide	Chem	ACTIVE	\N	\N	\N	\N
TR10224-4	Glycoprotein	Chem	ACTIVE	\N	\N	\N	\N
TR10225-1	Gold	Chem	ACTIVE	\N	\N	\N	\N
TR10226-9	Haloperidol	Chem	ACTIVE	\N	\N	\N	100000.568.000
TR10227-7	Haptoglobin	Chem	ACTIVE	\N	\N	\N	100000.281.000
TR10228-5	Hemoglobin A1 C	Chem	ACTIVE	2022-12-15	\N	\N	100000.102.000
TR10229-3	Heroin	Chem	ACTIVE	\N	\N	\N	\N
TR10230-1	Cholesterol in HDL	Chem	ACTIVE	\N	\N	\N	100000.303.000
TR10231-9	Histamine	Chem	ACTIVE	\N	\N	\N	\N
TR10232-7	Homocysteine	Chem	ACTIVE	\N	\N	\N	100000.219.000
TR10233-5	Homogentisate	Chem	ACTIVE	\N	\N	\N	\N
TR10234-3	Homovanillate	Chem	ACTIVE	\N	\N	\N	100000.370.900
TR10235-0	Hydrochlorothiazide	Chem	ACTIVE	\N	\N	\N	\N
TR10236-8	Hydroxyproline	Chem	ACTIVE	\N	\N	\N	100000.446.300
TR10237-6	Hydroxyproline Free	Chem	ACTIVE	\N	\N	\N	100000.446.400
TR10238-4	Ibuprofen	Chem	ACTIVE	\N	\N	\N	\N
TR10239-2	Imipramine	Chem	ACTIVE	\N	\N	\N	100000.570.000
TR10240-0	Immunoglobulin A	Chem	ACTIVE	\N	\N	\N	100000.200.000
TR10241-8	Immunoglobulin D	Chem	ACTIVE	\N	\N	\N	100000.201.000
TR10242-6	Immunoglobulin E	Chem	ACTIVE	\N	\N	\N	100000.202.000
TR10243-4	Immunoglobulin G	Chem	ACTIVE	\N	\N	\N	100000.203.000
TR10244-2	Immunoglobulin G Subclasses	Chem	ACTIVE	\N	\N	\N	100000.204.000
TR10245-9	ImmunoglobulinG/Albumin Ratio	Chem	ACTIVE	\N	\N	\N	\N
TR10246-7	Immunoglobulin M	Chem	ACTIVE	\N	\N	\N	100000.208.000
TR10247-5	Immunoglobulin Kappa Light Chains	Chem	ACTIVE	\N	\N	\N	100000.205.000
TR10248-3	Immunoglobulin Kappa Light Chains Free	Chem	ACTIVE	\N	\N	\N	\N
TR10249-1	Immunoglobulin Lambda Light Chains	Chem	ACTIVE	\N	\N	\N	100000.206.000
TR10250-9	Immunoglobulin Lambda Light Chains Free	Chem	ACTIVE	\N	\N	\N	\N
TR10251-7	Indicans	Chem	ACTIVE	\N	\N	\N	100000.184.950
TR10252-5	Insulin	Chem	ACTIVE	\N	\N	\N	100000.120.000
TR10253-3	Insulin Post Glucose Challenge	Chem	ACTIVE	\N	\N	\N	100000.121.000
TR10254-1	Insulin-like Growth Factor 1	Chem	ACTIVE	\N	\N	\N	100000.123.000
TR10255-8	Fat Emulsion	Chem	ACTIVE	\N	\N	\N	\N
TR10256-6	Inulin	Chem	ACTIVE	\N	\N	\N	\N
TR10257-4	Inulin Renal Clearance	Chem	ACTIVE	\N	\N	\N	\N
TR10258-2	Iodine Protein Bound	Chem	ACTIVE	\N	\N	\N	\N
TR10259-0	Iron	Chem	ACTIVE	\N	\N	\N	100000.390.000
TR10260-8	Iron Binding Capacity	Chem	ACTIVE	\N	\N	\N	100000.391.000
TR10261-6	Isoniazid	Chem	ACTIVE	\N	\N	\N	\N
TR10262-4	Isopropanol	Chem	ACTIVE	\N	\N	\N	100000.528.000
TR10263-2	Ketamine	Chem	ACTIVE	\N	\N	\N	\N
TR10264-0	L-Lactate	Chem	ACTIVE	\N	\N	\N	100000.160.800
TR10265-7	Lactate Dehydrogenase	Chem	ACTIVE	\N	\N	\N	100000.318.000
TR10266-5	Lactate Dehydrogenase Fractionation	Chem	ACTIVE	\N	\N	\N	100000.317.000
TR10267-3	Lactose Tolerance	Chem	ACTIVE	\N	\N	\N	100000.117.100
TR10268-1	Lamotrigine	Chem	ACTIVE	\N	\N	\N	100000.571.000
TR10269-9	Lead	Chem	ACTIVE	\N	\N	\N	100000.372.000
TR10270-7	Lethicin/Sphingomyelin Ratio	Chem	ACTIVE	\N	\N	\N	\N
TR10271-5	Leucine Aminopeptidase	Chem	ACTIVE	\N	\N	\N	\N
TR10272-3	Lidocaine	Chem	ACTIVE	\N	\N	\N	\N
TR10273-1	Lipase	Chem	ACTIVE	\N	\N	\N	100000.238.000
TR10274-9	Lipids	Chem	ACTIVE	2022-12-15	\N	\N	100000.301.000
TR10275-6	Lipoprotein a	Chem	ACTIVE	2013-09-06	\N	\N	100000.311.000
TR10276-4	Lipoprotein Fractionation	Chem	ACTIVE	\N	\N	\N	100000.310.000
TR10277-2	Lipoprotein Lipase	Chem	ACTIVE	\N	\N	\N	\N
TR10278-0	Lithium	Chem	ACTIVE	\N	\N	\N	100000.514.000
TR10279-8	Lorazepam	Chem	ACTIVE	\N	\N	\N	\N
TR10280-6	Cholesterol in LDL	Chem	ACTIVE	\N	\N	\N	100000.304.000
TR10281-4	Loxapine	Chem	ACTIVE	\N	\N	\N	\N
TR10282-2	Lutropin	Chem	ACTIVE	\N	\N	\N	100000.244.400
TR10283-0	Magnesium	Chem	ACTIVE	\N	\N	\N	100000.156.000
TR10284-8	Manganese	Chem	ACTIVE	\N	\N	\N	100000.384.000
TR10285-5	Maprotiline	Chem	ACTIVE	\N	\N	\N	\N
TR10286-3	Maternal Screen	Chem	ACTIVE	\N	\N	\N	100000.245.600
TR10287-1	Melanin	Chem	ACTIVE	\N	\N	\N	\N
TR10288-9	Meperidine	Chem	ACTIVE	\N	\N	\N	\N
TR10289-7	Meprobamate	Chem	ACTIVE	\N	\N	\N	\N
TR10290-5	Mercury	Chem	ACTIVE	\N	\N	\N	100000.373.000
TR10291-3	Metabolic Screen	Chem	ACTIVE	\N	\N	\N	100000.149.000
TR10292-1	Metanephrines	Chem	ACTIVE	\N	\N	\N	100000.367.000
TR10293-9	Metanephrines Fractionated	Chem	ACTIVE	\N	\N	\N	100000.368.000
TR10294-7	Methadone	Chem	ACTIVE	\N	\N	\N	100000.515.000
